CD_CVM,DENOM_CIA,receita,ESCALA_MOEDA,lucro_liquido,setor
016675,CEL PARTICIPAÇÕES S.A. - CELPAR,72018563.0,UNIDADE,152557.0,Emp. Adm. Part. - Educação
026050,UNIFIQUE TELECOMUNICAÇÕES S.A.,1025379.0,MIL,174566.0,Emp. Adm. Part. - Telecomunicações
017868,INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA,1877.0,MIL,-1531.0,"Máquinas, Equipamentos, Veículos e Peças"
024813,LOCALIZA FLEET S.A.,8117091.0,MIL,831241.0,Serviços Transporte e Logística
019232,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,8269.0,MIL,211.0,Energia Elétrica
016993,EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.,621368.0,MIL,54724.0,Energia Elétrica
020800,TEGMA GESTAO LOGISTICA S.A.,2090127.0,MIL,270612.0,Serviços Transporte e Logística
024910,LWSA S/A,1370032.0,MIL,42194.0,Comunicação e Informática
024872,LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A,109594.0,MIL,-27963.0,"Máquinas, Equipamentos, Veículos e Peças"
018414,PADTEC HOLDING S.A.,298759.0,UNIDADE,-27838.0,Emp. Adm. Part. - Telecomunicações
017450,RUMO S.A.,13936389.0,MIL,-949242.0,Emp. Adm. Part. - Serviços Transporte e Logística
018660,CPFL ENERGIA S.A.,42628210.0,MIL,5761554.0,Emp. Adm. Part. - Energia Elétrica
017329,ENGIE BRASIL ENERGIA S.A.,11218635.0,MIL,4302841.0,Energia Elétrica
027510,VITAL ENGENHARIA AMBIENTAL S.A.,2080429.0,MIL,295649.0,"Saneamento, Serv. Água e Gás"
017671,TELEFÔNICA BRASIL S.A,55845048.0,MIL,5557332.0,Telecomunicações
026468,HOSPITAL ANCHIETA S.A.,544840.0,MIL,-87206.0,Serviços Médicos
027090,TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.,25447930.0,MIL,2399428.0,Telecomunicações
025496,JALLES MACHADO S.A.,1909528.0,MIL,85118.0,"Agricultura (Açúcar, Álcool e Cana)"
017892,SANTOS BRASIL PARTICIPACOES S.A.,2903016.0,MIL,741966.0,Emp. Adm. Part. - Serviços Transporte e Logística
017973,COGNA EDUCAÇÃO S.A.,6390593.0,MIL,991631.0,Emp. Adm. Part. - Educação
018821,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,21783791.0,MIL,1311615.0,Emp. Adm. Part. - Serviços Transporte e Logística
022454,T4F ENTRETENIMENTO S.A.,165654.0,MIL,-68241.0,Brinquedos e Lazer
020575,JBS S.A.,416952002.0,MIL,10703994.0,Alimentos
019771,ARTERIS S.A.,6627303.0,MIL,-841393.0,Serviços Transporte e Logística
021431,HYPERA S.A.,7442466.0,MIL,1330875.0,Farmacêutico e Higiene
020478,PDG REALTY S.A. EMPREEND E PARTICIPACOES,119955.0,MIL,-429848.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
018376,ISA ENERGIA BRASIL,7966581.0,MIL,3552731.0,Energia Elétrica
019330,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,1322852.0,MIL,18312.0,Emp. Adm. Part. - Serviços Transporte e Logística
020010,EQUATORIAL S.A.,45366675.0,MIL,3767805.0,Energia Elétrica
027049,ORIZON MEIO AMBIENTE S.A.,754653.0,MIL,55922.0,"Saneamento, Serv. Água e Gás"
025780,PETRORECÔNCAVO S.A.,3264554.0,MIL,437498.0,Emp. Adm. Part. - Petróleo e Gás
019879,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,14876283.0,MIL,1643779.0,Emp. Adm. Part. - Energia Elétrica
026476,AMMO VAREJO S.A.,202515.0,MIL,-76212.0,
018775,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,3331291.0,MIL,-872550.0,Emp. Adm. Part. - Serviços Transporte e Logística
026093,CLEAR SALE S.A.,474576.0,MIL,-28610.0,
020788,MARFRIG GLOBAL FOODS S.A.,148860959.0,MIL,3880870.0,Alimentos
018953,CPFL GERACAO DE ENERGIA S.A.,5045523.0,MIL,2161461.0,
019763,EDP - ENERGIAS DO BRASIL S.A.,17447189.0,MIL,2469594.0,Energia Elétrica
