NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Ano (Código),Ano,Variável (Código),Variável,Classificação Nacional de Atividades Econômicas (CNAE 2.0) (Código),Classificação Nacional de Atividades Econômicas (CNAE 2.0),Faixas de pessoal ocupado assalariado (Código),Faixas de pessoal ocupado assalariado
1,Brasil,1020,Unidades,8,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117838,"R Artes, cultura, esporte e recreação",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,6254,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117861,S Outras atividades de serviços,9504,Total
1,Brasil,1020,Unidades,6027,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117861,S Outras atividades de serviços,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,208,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117861,S Outras atividades de serviços,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,19,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117861,S Outras atividades de serviços,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117888,T Serviços domésticos,9504,Total
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117888,T Serviços domésticos,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117888,T Serviços domésticos,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117888,T Serviços domésticos,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117892,U Organismos internacionais e outras instituições extraterritoriais,9504,Total
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117892,U Organismos internacionais e outras instituições extraterritoriais,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117892,U Organismos internacionais e outras instituições extraterritoriais,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117892,U Organismos internacionais e outras instituições extraterritoriais,73113,50 ou mais pessoas
1,Brasil,2,%,76.21603,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117897,Total,9504,Total
1,Brasil,2,%,75.07433,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117897,Total,9502,1 a 9 pessoas
1,Brasil,2,%,90.84458,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117897,Total,46281,10 a 49 pessoas
1,Brasil,2,%,92.02492,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,117897,Total,73113,50 ou mais pessoas
1,Brasil,2,%,76.80294,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",9504,Total
1,Brasil,2,%,75.14604,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",9502,1 a 9 pessoas
1,Brasil,2,%,86.74242,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",46281,10 a 49 pessoas
1,Brasil,2,%,93.33333,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",73113,50 ou mais pessoas
1,Brasil,2,%,74.93606,1,Brasil,2017,2017,13235,Taxa de 1 ano de sobrevivência,116880,B Indústrias extrativas,9504,Total
